zip,GEOID Start
78701,48453001100
78704,48453001305
78701,48453001200
78701,48453001100
78704,48453001401
78701,48453001100
78701,48453001100
78704,48453001401
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000901
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001200
78702,48453000804
78701,48453001100
78701,48453001200
78701,48453001200
78701,48453001100
78701,48453001200
78701,48453001200
78704,48453001305
78701,48453001100
78701,48453001200
78704,48453001305
78701,48453001100
78701,48453000604
78701,48453001100
78701,48453001100
78704,48453001305
78701,48453001100
78701,48453000604
78704,48453001305
78701,48453001200
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78704,48453001305
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453000902
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001305
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001305
78701,48453001100
78704,48453001305
78704,48453001305
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001305
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78704,48453001305
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453001100
78705,48453000603
78701,48453000902
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453001200
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000700
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78741,48453002304
78701,48453001100
78701,48453001100
78701,48453000700
78701,48453001100
78701,48453001100
78704,48453001303
78701,48453001100
78704,48453002308
78701,48453001100
78701,48453001100
78701,48453000901
78704,48453001303
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000700
78701,48453001100
78704,48453001401
78701,48453001100
78701,48453001100
78701,48453000902
78704,48453001305
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001305
78704,48453001305
78701,48453001100
78701,48453001100
78704,48453001305
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001401
78701,48453001100
78701,48453001100
78705,48453000603
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001305
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001305
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001200
78704,48453001401
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001200
78741,48453002304
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001401
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000901
78701,48453000902
78701,48453001100
78701,48453001200
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78741,48453002304
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453000902
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78701,48453001100
78741,48453002304
78701,48453001100
78701,48453001100
78701,48453001100
78704,48453001303
78701,48453001100
78701,48453001100
78701,48453001100
